id,region_type,region,n_el,bilingual_content,twi_dual_content,integrated_esl,push_pull_esl,mono_para,bilingual_para,sheltered_content,other_instruct,tutoring,summer,credit_recovery,mentoring,distance_ed,other,acad_info_primary,cte_info_primary,translation_primary,interpreter_primary,receiving_content_primary,receiving_instruct_support_primary,acad_info_other,cte_info_other,translation_other,interpreter_other,receiving_content_other,receiving_instruct_support_other,resource_score,instruct_score,language_support_score,noninstruct_service_score,hs_parent_service_score,resource_score_c,instruct_score_c,language_support_score_c,noninstruct_service_score_c,hs_parent_service_score_c,bilingual_content_score,bilingual_content_score_c
1002,town,central,11-100,no,no,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no students,no students,none,none,none,none,no students,few students,4,3,1,0,0,-4.23385012919897,0.0594315245478034,-0.143841515934539,-2.9052540913006,-1.24418604651163,2,-0.10594315245478
1003,city,central,11-100,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,yes,yes,no students,most or all students,none,none,some languages,some languages,no students,some students,10,5,1,3,1,1.76614987080103,2.0594315245478,-0.143841515934539,0.0947459086993971,-0.244186046511628,3.5,1.39405684754522
1004,suburb,northeast,11-100,no,no,yes,yes,no,no,yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,no students,most or all students,all languages,all languages,all languages,all languages,no students,most or all students,12,3,1,4,4,3.76614987080103,0.0594315245478034,-0.143841515934539,1.0947459086994,2.75581395348837,2,-0.10594315245478
1005,town,central,1-10,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,,,,,,,3,1,0,2,0,-5.23385012919897,-1.9405684754522,-1.14384151593454,-0.905254091300603,-1.24418604651163,0.5,-1.60594315245478
1006,city,southeast,11-100,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,yes,no students,few students,some languages,none,some languages,some languages,no students,no students,7.5,2,1,3,1.5,-0.733850129198967,-0.940568475452197,-0.143841515934539,0.0947459086993971,0.255813953488372,1.5,-0.60594315245478
1007,town,central,1-10,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no students,few students,none,none,some languages,some languages,no students,no students,4,1,0,2,1,-4.23385012919897,-1.9405684754522,-1.14384151593454,-0.905254091300603,-0.244186046511628,0.5,-1.60594315245478
1008,rural,west,1-10,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no students,no students,,,,,,,6,2,0,4,0,-2.23385012919897,-0.940568475452197,-1.14384151593454,1.0947459086994,-1.24418604651163,1,-1.10594315245478
1009,suburb,west,100+,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,some students,some students,some languages,some languages,some languages,some languages,few students,few students,14,5,3,4,2,5.76614987080103,2.0594315245478,1.85615848406546,1.0947459086994,0.755813953488372,3.5,1.39405684754522
1010,rural,southeast,1-10,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,all languages,all languages,no students,no students,6,2,0,2,2,-2.23385012919897,-0.940568475452197,-1.14384151593454,-0.905254091300603,0.755813953488372,1.5,-0.60594315245478
1011,rural,southeast,11-100,no,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no,yes,yes,no,yes,some students,no students,none,none,none,some languages,few students,no students,7.5,2,2,3,0.5,-0.733850129198967,-0.940568475452197,0.856158484065461,0.0947459086993971,-0.744186046511628,1.5,-0.60594315245478
1012,suburb,northeast,11-100,yes,no,yes,yes,no,yes,yes,no,yes,no,no,yes,no,no,yes,yes,yes,yes,few students,some students,none,none,some languages,some languages,no students,some students,12,5,2,4,1,3.76614987080103,2.0594315245478,0.856158484065461,1.0947459086994,-0.244186046511628,4,1.89405684754522
1013,suburb,northeast,11-100,no,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,none,none,no students,no students,6,3,1,2,0,-2.23385012919897,0.0594315245478034,-0.143841515934539,-0.905254091300603,-1.24418604651163,2.5,0.39405684754522
1014,town,west,1-10,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no students,no students,none,none,none,none,no students,no students,6,2,0,4,0,-2.23385012919897,-0.940568475452197,-1.14384151593454,1.0947459086994,-1.24418604651163,1.5,-0.60594315245478
1015,town,southeast,11-100,no,no,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no students,most or all students,,,,,,,11,5,2,4,0,2.76614987080103,2.0594315245478,0.856158484065461,1.0947459086994,-1.24418604651163,3.5,1.39405684754522
1016,city,west,100+,no,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,yes,yes,yes,yes,few students,some students,some languages,some languages,some languages,some languages,few students,some students,14,5,3,4,2,5.76614987080103,2.0594315245478,1.85615848406546,1.0947459086994,0.755813953488372,4,1.89405684754522
