id,region_type,region,n_el,bilingual_content,twi_dual_content,integrated_esl,push_pull_esl,mono_para,bilingual_para,sheltered_content,other_instruct,tutoring,summer,credit_recovery,mentoring,distance_ed,other,acad_info_primary,cte_info_primary,translation_primary,interpreter_primary,receiving_content_primary,receiving_instruct_support_primary,acad_info_other,cte_info_other,translation_other,interpreter_other,receiving_content_other,receiving_instruct_support_other,resource_score,instruct_score,language_support_score,noninstruct_service_score,hs_parent_service_score,resource_score_c,instruct_score_c,language_support_score_c,noninstruct_service_score_c,hs_parent_service_score_c,bilingual_content_score,bilingual_content_score_c
517,town,west,1-10,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no students,most or all students,none,none,none,none,no students,no students,5,1,0,4,0,-3.23385012919897,-1.9405684754522,-1.14384151593454,1.0947459086994,-1.24418604651163,1,-1.10594315245478
518,suburb,northeast,1-10,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,few students,few students,,,,,,,5,1,0,4,0,-3.23385012919897,-1.9405684754522,-1.14384151593454,1.0947459086994,-1.24418604651163,0.5,-1.60594315245478
519,city,central,11-100,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,some students,no students,none,none,none,all languages,no students,no students,7,4,0,2,1,-1.23385012919897,1.0594315245478,-1.14384151593454,-0.905254091300603,-0.244186046511628,3,0.89405684754522
520,suburb,west,100+,no,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,some students,most or all students,some languages,some languages,all languages,some languages,few students,some students,11.5,4,1,4,2.5,3.26614987080103,1.0594315245478,-0.143841515934539,1.0947459086994,1.25581395348837,3.5,1.39405684754522
521,city,west,100+,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,no,no,yes,yes,yes,yes,no students,some students,some languages,some languages,some languages,some languages,no students,few students,14,5,3,4,2,5.76614987080103,2.0594315245478,1.85615848406546,1.0947459086994,0.755813953488372,3.5,1.39405684754522
522,suburb,northeast,100+,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,yes,yes,yes,yes,most or all students,most or all students,some languages,some languages,some languages,some languages,no students,few students,13,5,2,4,2,4.76614987080103,2.0594315245478,0.856158484065461,1.0947459086994,0.755813953488372,4,1.89405684754522
523,suburb,west,100+,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no students,few students,,,,,,,7,3,0,4,0,-1.23385012919897,0.0594315245478034,-1.14384151593454,1.0947459086994,-1.24418604651163,2,-0.10594315245478
524,suburb,southeast,100+,no,no,no,yes,yes,yes,yes,no,yes,yes,no,yes,no,no,yes,yes,yes,yes,no students,some students,some languages,some languages,all languages,all languages,no students,some students,14,4,3,4,3,5.76614987080103,1.0594315245478,1.85615848406546,1.0947459086994,1.75581395348837,2.5,0.39405684754522
525,rural,west,1-10,no,no,no,yes,no,yes,yes,no,no,no,yes,no,no,no,yes,yes,yes,yes,no students,few students,none,none,some languages,none,no students,no students,8.5,3,1,4,0.5,0.266149870801033,0.0594315245478034,-0.143841515934539,1.0947459086994,-0.744186046511628,2,-0.10594315245478
526,town,northeast,1-10,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,no students,few students,none,none,none,none,no students,few students,10,4,4,2,0,1.76614987080103,1.0594315245478,2.85615848406546,-0.905254091300603,-1.24418604651163,2.5,0.39405684754522
527,town,central,11-100,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,none,none,no students,no students,3,1,0,2,0,-5.23385012919897,-1.9405684754522,-1.14384151593454,-0.905254091300603,-1.24418604651163,0.5,-1.60594315245478
528,city,west,100+,no,yes,yes,no,yes,yes,yes,no,no,yes,yes,no,no,no,yes,yes,yes,yes,few students,most or all students,some languages,some languages,some languages,some languages,no students,no students,13,5,2,4,2,4.76614987080103,2.0594315245478,0.856158484065461,1.0947459086994,0.755813953488372,4,1.89405684754522
529,suburb,central,1-10,no,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes,yes,yes,yes,no students,few students,some languages,none,some languages,some languages,no students,few students,11.5,5,1,4,1.5,3.26614987080103,2.0594315245478,-0.143841515934539,1.0947459086994,0.255813953488372,3.5,1.39405684754522
530,suburb,northeast,11-100,no,no,yes,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,yes,yes,no students,no students,some languages,some languages,some languages,some languages,no students,no students,9,3,2,2,2,0.766149870801034,0.0594315245478034,0.856158484065461,-0.905254091300603,0.755813953488372,2.5,0.39405684754522
531,rural,northeast,1-10,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,all languages,all languages,no students,no students,5,1,0,2,2,-3.23385012919897,-1.9405684754522,-1.14384151593454,-0.905254091300603,0.755813953488372,1,-1.10594315245478
532,rural,southeast,11-100,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no students,no students,,,,,,,4,3,0,1,0,-4.23385012919897,0.0594315245478034,-1.14384151593454,-1.9052540913006,-1.24418604651163,2.5,0.39405684754522
533,suburb,northeast,1-10,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,yes,yes,yes,yes,no students,no students,all languages,all languages,all languages,all languages,no students,no students,11,2,1,4,4,2.76614987080103,-0.940568475452197,-0.143841515934539,1.0947459086994,2.75581395348837,1.5,-0.60594315245478
534,town,northeast,1-10,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,some languages,some languages,no students,no students,5,1,1,2,1,-3.23385012919897,-1.9405684754522,-0.143841515934539,-0.905254091300603,-0.244186046511628,0.5,-1.60594315245478
535,rural,southeast,11-100,no,no,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,yes,yes,most or all students,few students,none,none,all languages,all languages,few students,no students,8,2,2,2,2,-0.233850129198967,-0.940568475452197,0.856158484065461,-0.905254091300603,0.755813953488372,1.5,-0.60594315245478
536,suburb,northeast,11-100,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no students,no students,none,none,none,all languages,no students,no students,5,1,2,1,1,-3.23385012919897,-1.9405684754522,0.856158484065461,-1.9052540913006,-0.244186046511628,0.5,-1.60594315245478
537,town,central,1-10,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no students,no students,none,none,none,none,no students,no students,2,2,0,0,0,-6.23385012919897,-0.940568475452197,-1.14384151593454,-2.9052540913006,-1.24418604651163,1.5,-0.60594315245478
538,rural,southeast,11-100,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,yes,yes,no students,no students,all languages,all languages,all languages,some languages,no students,no students,9.5,1,1,4,3.5,1.26614987080103,-1.9405684754522,-0.143841515934539,1.0947459086994,2.25581395348837,1,-1.10594315245478
539,city,central,11-100,no,no,yes,yes,no,no,no,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes,some students,some students,none,none,all languages,all languages,few students,few students,12,2,4,4,2,3.76614987080103,-0.940568475452197,2.85615848406546,1.0947459086994,0.755813953488372,1.5,-0.60594315245478
540,rural,central,1-10,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no students,no students,,,,,,,1,1,0,0,0,-7.23385012919897,-1.9405684754522,-1.14384151593454,-2.9052540913006,-1.24418604651163,0.5,-1.60594315245478
541,city,central,100+,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,no,no,yes,no,yes,yes,few students,few students,some languages,some languages,some languages,some languages,few students,few students,13,5,3,3,2,4.76614987080103,2.0594315245478,1.85615848406546,0.0947459086993971,0.755813953488372,3.5,1.39405684754522
542,city,central,100+,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no students,some students,some languages,some languages,some languages,all languages,no students,few students,15.5,5,4,4,2.5,7.26614987080103,2.0594315245478,2.85615848406546,1.0947459086994,1.25581395348837,3.5,1.39405684754522
543,town,southeast,1-10,no,no,no,yes,yes,no,no,yes,yes,no,no,yes,no,no,yes,yes,no,yes,some students,some students,none,none,some languages,some languages,few students,some students,9,3,2,3,1,0.766149870801034,0.0594315245478034,0.856158484065461,0.0947459086993971,-0.244186046511628,1.5,-0.60594315245478
544,suburb,northeast,1-10,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,no students,some students,none,none,none,none,no students,no students,4,1,1,2,0,-4.23385012919897,-1.9405684754522,-0.143841515934539,-0.905254091300603,-1.24418604651163,1,-1.10594315245478
545,city,west,100+,no,no,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,few students,few students,none,none,some languages,some languages,no students,no students,11,2,4,4,1,2.76614987080103,-0.940568475452197,2.85615848406546,1.0947459086994,-0.244186046511628,2,-0.10594315245478
546,suburb,southeast,100+,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,yes,yes,yes,yes,few students,few students,some languages,some languages,all languages,all languages,no students,few students,15,6,2,4,3,6.76614987080103,3.0594315245478,0.856158484065461,1.0947459086994,1.75581395348837,4.5,2.39405684754522
547,suburb,central,1-10,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,most or all students,most or all students,none,none,none,none,few students,most or all students,7,2,1,4,0,-1.23385012919897,-0.940568475452197,-0.143841515934539,1.0947459086994,-1.24418604651163,1,-1.10594315245478
548,rural,central,1-10,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,some languages,some languages,no students,no students,6,3,0,2,1,-2.23385012919897,0.0594315245478034,-1.14384151593454,-0.905254091300603,-0.244186046511628,2,-0.10594315245478
549,town,southeast,1-10,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no students,no students,,,,,,,4,1,0,3,0,-4.23385012919897,-1.9405684754522,-1.14384151593454,0.0947459086993971,-1.24418604651163,0.5,-1.60594315245478
550,suburb,central,1-10,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,no students,few students,some languages,some languages,all languages,all languages,no students,no students,9,1,1,4,3,0.766149870801034,-1.9405684754522,-0.143841515934539,1.0947459086994,1.75581395348837,1,-1.10594315245478
551,rural,southeast,1-10,no,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,no students,few students,some languages,some languages,some languages,some languages,no students,few students,10,3,1,4,2,1.76614987080103,0.0594315245478034,-0.143841515934539,1.0947459086994,0.755813953488372,2.5,0.39405684754522
552,city,west,100+,no,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,no,yes,yes,yes,yes,some students,most or all students,some languages,some languages,some languages,some languages,few students,some students,13,4,3,4,2,4.76614987080103,1.0594315245478,1.85615848406546,1.0947459086994,0.755813953488372,3,0.89405684754522
553,rural,southeast,1-10,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,most or all students,most or all students,,,,,,,7,3,0,4,0,-1.23385012919897,0.0594315245478034,-1.14384151593454,1.0947459086994,-1.24418604651163,3,0.89405684754522
554,town,central,11-100,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,no students,few students,none,none,some languages,some languages,no students,no students,8,5,0,2,1,-0.233850129198967,2.0594315245478,-1.14384151593454,-0.905254091300603,-0.244186046511628,3.5,1.39405684754522
555,city,west,11-100,no,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes,no,yes,yes,no students,few students,some languages,none,none,some languages,no students,no students,10,5,1,3,1,1.76614987080103,2.0594315245478,-0.143841515934539,0.0947459086993971,-0.244186046511628,3.5,1.39405684754522
556,rural,west,11-100,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,no students,some students,,,,,,,6,4,0,2,0,-2.23385012919897,1.0594315245478,-1.14384151593454,-0.905254091300603,-1.24418604651163,2.5,0.39405684754522
557,suburb,west,100+,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,few students,few students,none,none,some languages,some languages,no students,no students,13,6,2,4,1,4.76614987080103,3.0594315245478,0.856158484065461,1.0947459086994,-0.244186046511628,4,1.89405684754522
558,suburb,west,100+,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no students,some students,some languages,none,all languages,all languages,no students,some students,15.5,5,4,4,2.5,7.26614987080103,2.0594315245478,2.85615848406546,1.0947459086994,1.25581395348837,3.5,1.39405684754522
559,city,central,100+,no,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,no,yes,yes,yes,yes,few students,few students,all languages,some languages,all languages,all languages,few students,few students,14.5,5,2,4,3.5,6.26614987080103,2.0594315245478,0.856158484065461,1.0947459086994,2.25581395348837,3.5,1.39405684754522
560,suburb,southeast,100+,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no students,few students,none,none,some languages,some languages,no students,few students,6,2,1,2,1,-2.23385012919897,-0.940568475452197,-0.143841515934539,-0.905254091300603,-0.244186046511628,1.5,-0.60594315245478
561,town,southeast,11-100,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,some languages,some languages,no students,no students,6,3,0,2,1,-2.23385012919897,0.0594315245478034,-1.14384151593454,-0.905254091300603,-0.244186046511628,2,-0.10594315245478
562,suburb,northeast,11-100,no,no,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,no students,some students,none,none,all languages,all languages,no students,no students,9,3,1,3,2,0.766149870801034,0.0594315245478034,-0.143841515934539,0.0947459086993971,0.755813953488372,2,-0.10594315245478
563,rural,northeast,1-10,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no students,no students,all languages,all languages,all languages,some languages,no students,no students,9.5,2,0,4,3.5,1.26614987080103,-0.940568475452197,-1.14384151593454,1.0947459086994,2.25581395348837,1.5,-0.60594315245478
564,suburb,northeast,11-100,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no students,no students,none,none,all languages,all languages,no students,no students,7,2,1,2,2,-1.23385012919897,-0.940568475452197,-0.143841515934539,-0.905254091300603,0.755813953488372,1.5,-0.60594315245478
565,rural,southeast,1-10,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no students,few students,some languages,some languages,some languages,some languages,no students,few students,10,4,0,4,2,1.76614987080103,1.0594315245478,-1.14384151593454,1.0947459086994,0.755813953488372,2.5,0.39405684754522
566,suburb,central,100+,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,yes,no,yes,yes,no students,some students,none,none,all languages,some languages,no students,no students,8.5,3,1,3,1.5,0.266149870801033,0.0594315245478034,-0.143841515934539,0.0947459086993971,0.255813953488372,2,-0.10594315245478
567,city,west,100+,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,few students,most or all students,none,none,some languages,all languages,no students,most or all students,15.5,6,4,4,1.5,7.26614987080103,3.0594315245478,2.85615848406546,1.0947459086994,0.255813953488372,5,2.89405684754522
568,suburb,west,100+,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,no students,some students,some languages,some languages,all languages,all languages,no students,some students,16,6,3,4,3,7.76614987080103,3.0594315245478,1.85615848406546,1.0947459086994,1.75581395348837,4,1.89405684754522
569,city,southeast,11-100,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,few students,,,,,,,3,1,0,2,0,-5.23385012919897,-1.9405684754522,-1.14384151593454,-0.905254091300603,-1.24418604651163,1,-1.10594315245478
570,suburb,central,1-10,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,yes,yes,yes,no students,some students,none,some languages,all languages,all languages,no students,some students,9.5,3,1,3,2.5,1.26614987080103,0.0594315245478034,-0.143841515934539,0.0947459086993971,1.25581395348837,2,-0.10594315245478
571,rural,west,1-10,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,no students,no students,,,,,,,5,2,1,2,0,-3.23385012919897,-0.940568475452197,-0.143841515934539,-0.905254091300603,-1.24418604651163,1.5,-0.60594315245478
572,suburb,west,100+,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,few students,some students,some languages,some languages,some languages,some languages,few students,few students,14,6,2,4,2,5.76614987080103,3.0594315245478,0.856158484065461,1.0947459086994,0.755813953488372,4,1.89405684754522
573,suburb,southeast,100+,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,all languages,some languages,no students,no students,7.5,3,1,2,1.5,-0.733850129198967,0.0594315245478034,-0.143841515934539,-0.905254091300603,0.255813953488372,2,-0.10594315245478
574,suburb,southeast,1-10,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,few students,few students,some languages,some languages,some languages,some languages,few students,few students,8,2,0,4,2,-0.233850129198967,-0.940568475452197,-1.14384151593454,1.0947459086994,0.755813953488372,1.5,-0.60594315245478
575,town,west,11-100,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,some students,some students,,,,,,,9,5,0,4,0,0.766149870801034,2.0594315245478,-1.14384151593454,1.0947459086994,-1.24418604651163,3.5,1.39405684754522
576,town,southeast,1-10,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,few students,most or all students,,,,,,,4,2,0,2,0,-4.23385012919897,-0.940568475452197,-1.14384151593454,-0.905254091300603,-1.24418604651163,1.5,-0.60594315245478
577,town,southeast,1-10,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no students,most or all students,none,none,none,none,no students,no students,4,1,1,2,0,-4.23385012919897,-1.9405684754522,-0.143841515934539,-0.905254091300603,-1.24418604651163,0.5,-1.60594315245478
578,suburb,northeast,11-100,no,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,yes,no students,some students,some languages,some languages,some languages,some languages,no students,some students,7,2,1,2,2,-1.23385012919897,-0.940568475452197,-0.143841515934539,-0.905254091300603,0.755813953488372,1.5,-0.60594315245478
579,rural,southeast,1-10,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,most or all students,none,none,none,none,no students,no students,5,3,0,2,0,-3.23385012919897,0.0594315245478034,-1.14384151593454,-0.905254091300603,-1.24418604651163,2.5,0.39405684754522
580,suburb,northeast,1-10,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,some languages,some languages,no students,no students,5,2,0,2,1,-3.23385012919897,-0.940568475452197,-1.14384151593454,-0.905254091300603,-0.244186046511628,1.5,-0.60594315245478
581,city,central,11-100,no,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,some languages,some languages,no students,no students,7,3,1,2,1,-1.23385012919897,0.0594315245478034,-0.143841515934539,-0.905254091300603,-0.244186046511628,2,-0.10594315245478
582,rural,southeast,1-10,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,yes,yes,yes,yes,no students,few students,,,,,,,7,1,2,4,0,-1.23385012919897,-1.9405684754522,0.856158484065461,1.0947459086994,-1.24418604651163,0.5,-1.60594315245478
583,city,southeast,100+,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no students,some students,none,none,some languages,some languages,no students,some students,7,2,0,4,1,-1.23385012919897,-0.940568475452197,-1.14384151593454,1.0947459086994,-0.244186046511628,1.5,-0.60594315245478
584,city,southeast,1-10,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,yes,yes,yes,yes,few students,few students,some languages,some languages,some languages,some languages,few students,few students,10,3,1,4,2,1.76614987080103,0.0594315245478034,-0.143841515934539,1.0947459086994,0.755813953488372,2,-0.10594315245478
585,rural,west,1-10,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no students,no students,,,,,,,2,2,0,0,0,-6.23385012919897,-0.940568475452197,-1.14384151593454,-2.9052540913006,-1.24418604651163,1,-1.10594315245478
586,city,southeast,11-100,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,no students,some students,some languages,some languages,some languages,some languages,no students,few students,9,2,1,4,2,0.766149870801034,-0.940568475452197,-0.143841515934539,1.0947459086994,0.755813953488372,1.5,-0.60594315245478
587,suburb,southeast,11-100,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,yes,yes,yes,yes,no students,some students,some languages,some languages,all languages,all languages,no students,no students,11,3,1,4,3,2.76614987080103,0.0594315245478034,-0.143841515934539,1.0947459086994,1.75581395348837,2,-0.10594315245478
588,suburb,northeast,1-10,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,all languages,all languages,no students,no students,7,3,0,2,2,-1.23385012919897,0.0594315245478034,-1.14384151593454,-0.905254091300603,0.755813953488372,2,-0.10594315245478
589,city,west,100+,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no students,some students,none,none,none,some languages,no students,some students,9.5,5,0,4,0.5,1.26614987080103,2.0594315245478,-1.14384151593454,1.0947459086994,-0.744186046511628,4,1.89405684754522
590,city,west,1-10,no,no,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,all languages,all languages,no students,no students,8,3,1,2,2,-0.233850129198967,0.0594315245478034,-0.143841515934539,-0.905254091300603,0.755813953488372,2,-0.10594315245478
591,city,central,100+,no,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,no,yes,yes,no students,some students,none,none,some languages,all languages,no students,no students,9.5,5,0,3,1.5,1.26614987080103,2.0594315245478,-1.14384151593454,0.0947459086993971,0.255813953488372,3.5,1.39405684754522
592,city,central,11-100,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,all languages,all languages,no students,no students,7,3,0,2,2,-1.23385012919897,0.0594315245478034,-1.14384151593454,-0.905254091300603,0.755813953488372,2,-0.10594315245478
593,suburb,west,100+,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,some students,some students,some languages,some languages,some languages,some languages,no students,no students,10,4,0,4,2,1.76614987080103,1.0594315245478,-1.14384151593454,1.0947459086994,0.755813953488372,3,0.89405684754522
594,suburb,west,11-100,no,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,none,all languages,no students,no students,7,3,1,2,1,-1.23385012919897,0.0594315245478034,-0.143841515934539,-0.905254091300603,-0.244186046511628,2,-0.10594315245478
595,suburb,northeast,11-100,no,no,yes,no,no,yes,yes,no,yes,yes,no,no,no,no,yes,yes,yes,yes,no students,some students,some languages,none,some languages,some languages,no students,some students,10.5,3,2,4,1.5,2.26614987080103,0.0594315245478034,0.856158484065461,1.0947459086994,0.255813953488372,2.5,0.39405684754522
596,rural,southeast,11-100,no,no,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,few students,some students,some languages,all languages,all languages,all languages,few students,some students,15.5,3,5,4,3.5,7.26614987080103,0.0594315245478034,3.85615848406546,1.0947459086994,2.25581395348837,2,-0.10594315245478
597,rural,central,11-100,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,yes,few students,few students,all languages,none,all languages,all languages,no students,no students,9,3,0,3,3,0.766149870801034,0.0594315245478034,-1.14384151593454,0.0947459086993971,1.75581395348837,2.5,0.39405684754522
598,city,west,100+,no,no,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,no,yes,yes,no students,few students,some languages,none,some languages,some languages,no students,few students,10.5,5,1,3,1.5,2.26614987080103,2.0594315245478,-0.143841515934539,0.0947459086993971,0.255813953488372,3.5,1.39405684754522
599,city,northeast,11-100,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,yes,yes,yes,yes,no students,no students,some languages,some languages,some languages,some languages,no students,no students,10,3,1,4,2,1.76614987080103,0.0594315245478034,-0.143841515934539,1.0947459086994,0.755813953488372,2,-0.10594315245478
600,suburb,northeast,100+,yes,no,yes,yes,no,no,yes,no,yes,yes,no,no,no,no,yes,yes,yes,yes,few students,few students,none,none,all languages,some languages,no students,no students,11.5,4,2,4,1.5,3.26614987080103,1.0594315245478,0.856158484065461,1.0947459086994,0.255813953488372,3,0.89405684754522
601,city,central,100+,no,no,yes,yes,no,no,yes,no,yes,no,no,yes,no,no,no,no,yes,yes,no students,no students,none,none,some languages,all languages,no students,no students,8.5,3,2,2,1.5,0.266149870801033,0.0594315245478034,0.856158484065461,-0.905254091300603,0.255813953488372,2,-0.10594315245478
602,suburb,northeast,1-10,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,all languages,all languages,no students,no students,8,4,0,2,2,-0.233850129198967,1.0594315245478,-1.14384151593454,-0.905254091300603,0.755813953488372,3.5,1.39405684754522
603,town,west,100+,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,yes,no,no,yes,no,yes,yes,few students,some students,all languages,none,all languages,all languages,no students,most or all students,14,6,2,3,3,5.76614987080103,3.0594315245478,0.856158484065461,0.0947459086993971,1.75581395348837,4,1.89405684754522
604,suburb,northeast,1-10,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,yes,no students,no students,some languages,none,all languages,some languages,no students,no students,8,3,0,3,2,-0.233850129198967,0.0594315245478034,-1.14384151593454,0.0947459086993971,0.755813953488372,2,-0.10594315245478
605,town,southeast,11-100,no,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no,yes,yes,yes,yes,no students,some students,,,,,,,8,2,2,4,0,-0.233850129198967,-0.940568475452197,0.856158484065461,1.0947459086994,-1.24418604651163,1.5,-0.60594315245478
606,town,west,11-100,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,yes,yes,yes,yes,few students,no students,none,none,none,none,no students,no students,7,2,1,4,0,-1.23385012919897,-0.940568475452197,-0.143841515934539,1.0947459086994,-1.24418604651163,1.5,-0.60594315245478
607,suburb,west,11-100,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no students,few students,none,none,none,none,no students,no students,5,3,0,2,0,-3.23385012919897,0.0594315245478034,-1.14384151593454,-0.905254091300603,-1.24418604651163,2,-0.10594315245478
608,suburb,northeast,11-100,no,no,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,yes,no,yes,yes,no students,most or all students,all languages,none,all languages,all languages,no students,no students,11,4,1,3,3,2.76614987080103,1.0594315245478,-0.143841515934539,0.0947459086993971,1.75581395348837,3,0.89405684754522
609,suburb,northeast,11-100,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no students,no students,none,none,some languages,some languages,no students,no students,6,1,0,4,1,-2.23385012919897,-1.9405684754522,-1.14384151593454,1.0947459086994,-0.244186046511628,1,-1.10594315245478
610,city,central,1-10,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,all languages,all languages,no students,no students,6,2,0,2,2,-2.23385012919897,-0.940568475452197,-1.14384151593454,-0.905254091300603,0.755813953488372,1.5,-0.60594315245478
611,rural,central,11-100,no,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,no students,few students,none,none,some languages,some languages,no students,no students,7,4,0,2,1,-1.23385012919897,1.0594315245478,-1.14384151593454,-0.905254091300603,-0.244186046511628,3,0.89405684754522
